label,text
promo,বোনাস সহ ৩জিবি-৬০টাকা-৩দিন। ডায়াল *১২১*৫৬৯৯# বা https://mygp.li/mo
smish,ফুটবলে বাজি ধরুন এবং একটি বিলাসবহুল গাড়ি জিতুন। ক্লিক করুন: phlebolog.com.ua/libraries/joomla/results.php
normal,তুমি কি হাঁটতে যাচ্ছো?
smish,"""মেঘের রঙের জন্য স্বাগতম! আসুন আপনার ঘরবসতি সাজিয়ে নেই সহজ কিস্তিতে। অনলাইন অর্ডার দিন এবং সম্ভবত এই মাসের মধ্যে পাওয়ার সুযোগ নিন - ০১৭৪৬৬৩৫৭২৫"""
normal,আমি জানি তুমি এই কঠিন সময়টা পার হয়ে যাবে।
normal,"তুমি যা করতে চাইবে, তা পারবে।"
normal,আশা করি তোমার দিনটি ভালো কাটুক!
promo,"৳৩০ ক্যাশব্যাকে প্রো-লেভেল ডাটা ডিল-২২জিবি@৳১৬৭,৭দিন cutt.ly/7w9OKeZ2"
normal,আমার জন্য কোনো নতুন খবর আছে?
smish,প্রতিদিন ৫০০-৭০০ টাকা ইনকাম করুন! ফ্লেক্সিলোড সিম ব্যবহার করে ঘরে বসে। বিস্তারিত জানতে ইনবক্স করুন।
normal,আমার কাছে কোনো নতুন খবর আছে?
smish,bKash অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। দ্রুত সমাধানের জন্য কল করুন: +8801713344556
smish,"
বেকার যুবক, যুবতী, গৃহিণী, রিটায়ার্ড ব্যক্তিদের জন্য ঘরে বসে অনলাইনে স্বল্প সময়ে প্রচুর টাকা উপার্জন করার
সুবর্ণ সুযোগ"
smish,"ঘরে বসে অনেক ভাবে ইনকাম করা যায়। যেমন কেউ ইউটিউবে ভিডিও তৈরি করে কেউ ব্লক তৈরি করে কেউ রিভিউ দেয় ইত্যাদি করে ইনকাম করা যায়। যদি আপনি এগুলা করতে না পারেন আরো সহ্জ পদ্ধতিতে দিতে ইনকাম করতে পারেন। এই অ্যাপসটা থেকে আমি অনেক টাকা ইনকাম করেছি। মাত্র ৫০ টাকা হলেই টাকা বিকাশে উইড্রো করা যায়। ভালো লাগলে অন্যদের সাথেও শেয়ার করুন আর নিচের দেয়া লিংক থেকে অ্যাপসটি ডাউনলোড করে নিবেন।

বি: দ্রষ্টব্য: গেমটি ডাউনলোড হতে একটু সময় লাগে তাই ধৈর্য ধরে Download দিয়ে রাখুন।

Join MSL to play exciting games online and WIN real CASH daily. Download MSL APP Now

https://refer.mslgames.com/YfrcqEcoToos53HN7"
smish,"নগদ অ্যাকাউন্ট থেকে ৫,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে কল করুন: +8801919899901"
smish,আপনার ক্রেডিট কার্ডের লিমিট বাড়ানোর জন্য কল করুন +8801812233445
normal,"ভাই, 
আযহার ভাই আপনার সাথে দেখা করতে বললো। এম. ফিল এর Synopsis নিয়ে "
normal,০১৮২৭২৮৩৯৫১ নাম্বারে কল করুন।
normal,তোমার প্রিয় ঋতু কোনটা?
normal,কেমন আছো?
promo,ফ্রি ডেলিভারি সব অর্ডারে। সীমিত সময়ের জন্য।
smish,"আপনার ছেলে সমস্যায় আছে, তাই দ্রুত টাকা পাঠান।"
normal,আশা করি তোমার দিনটি ভালো কাটুক!
smish,SCHOOL PART TIME TEACHER POST APPLY Now. Online selection process. নাম্বারের ভিত্তিতে নির্বাচন করা হবে. B.SC pass Marksheet and certificate send WhatsApp 7602236317
normal,তোমার পরিশ্রম সার্থক হবে।
smish,"ফ্রিতে মাইনিং করে ইনকাম করুন। ১০০% ফ্রি। টেলিগ্রাম অ্যাপ থাকলেই হবে। লিংক এ ক্লিক করে start করতে হবে, ৬ ঘন্টা পর পর টোকেন ক্লেইম করতে হবে। আর কোনো কাজ নেই।
https://t.me/pixelversexyzbot?start=6760562639"
smish,"প্রিয় শিক্ষার্থী! Coronavirus এর কারণে তোমাদের উপবৃত্তির ৪,২০০ টাকা দেওয়া হচ্ছে। টাকা গ্রহনের জন্য নিম্নোক্ত শিক্ষাবোর্ডের নম্বরে যোগাযোগ করুন।
মোবাঃ 01813849152,
যোগাযোগের সময় সকাল 10 টা রাত 7:30 টা পযন্ত বি:দ্র: একটা বিকাশ নাম্বার নিয়ে ফোন দিতে হবে"
normal,আশা করি তোমার সফলতা হোক!
smish,"প্রিয় গ্রাহক, সন্দেহজনক লেনদেনের কারণে আপনার একাউন্ট সাময়িক ভাবে বন্ধ করা হয়েছে।বাংলাদেশ ব্যাংক এর নিতীমালা অনুসারে সঠিক তথ্যের ভিত্তিতে পুনরায় সচল করে দাওয়া হবে। একজন ম্যানেজার আপনাকে কল দেবে ( ...... )"
smish,💖 আপনি কি ফ্রি কাজ শিখতে চান। কাজের পাশাপাশি কি ইনকাম করতে চান?প্রতি দিন ৪০০থেকে৫০০ টাকা ইনকাম করতে পারবেন? তাহলে আর দেরি কেনো? এখনি যোগাযোগ করুন : ০১৭২২৬৭২৩৯১
normal,আমাকে জরুরি কল দিন ০১৭২৪৮৩৯৮৫৬ এই নাম্বারে।
smish,আপনার অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ হয়েছে। লগইন করে যাচাই করুন: [accountsecure.org/VerifyBD]
smish,"✅ নেটওয়ার্ক মার্কেটিং এর কাজ করে প্রতিমাসে ২০ হাজার থেকে ২০ লাখ টাকা 💰💰
ইনকাম করতে পারবেন মোবাইলের মাধ্যমে ✅✅💲কাজ ফ্রিতে শিখিয়ে দেবো✔️✔️ যে কোনো দেশ 🇧🇩 থেকে কাজ করতে পারবেন 🌹🌹 যারা নেটওয়ার্ক মার্কেটিং এর কাজ করতে চান আমাকে সরাসরি ইনবক্স করুন ✔️🌹💐🥰"
smish,আপনার পাসওয়ার্ডটি অবিলম্বে রিসেট করুন। এখানে ক্লিক করুন: [passwordsecure.com/ResetBD]
normal,শুভ কলকাতার কল্যাণ মেলা!
normal,০১৮২৭২৮৩৯৬৩ নাম্বারে কল করুন।
smish,"https://t.me/DailyEarn_Money_bot?start=r07709397116 ফ্রী ইনকাম করতে চাইলে ক্লিক করুন,🤞"
normal,তুমি কি সিনেমার টিকিট কিনছো?
normal,"তুমি অনেক শক্তিশালী, সাহস রেখো।"
promo,“১৬১২২ নম্বরে কল করে অথবা land.gov.bd ভিজিট করে ঘরে বসেই ভূমিসেবা গ্রহণ করুন।’’-ভূমি মন্ত্রণালয়।
normal,একটা গল্প বলো। একবারে।
normal,কেমন চলছে তোমার দিনটি?
normal,ভালো সময় আবার আসবে।
smish,"ডিজিটাল মার্কেটিং/ নেটওয়ার্ক মার্কেটিং ৫-৬ হাজার টাকার কোর্স একদম ফ্রি ❤️‍🩹🥀
⚛️ নেটওয়ার্ক মার্কেটিং কাজ করে ঘরে বসে মাসে সর্বনিম্ন ২০ হাজার টাকার উপরে ইনকাম করার সুযোগ ✔️"
smish,দিনে ৫০০ থেকে ৬০০ টাকা ইনকাম করতে চাইলে এই লিঙ্কে ঢুকে থাকুন https://t.me/Referincomebd4536_bot?start=r05236457375
normal,"আমি ঠিক আছি, আপনি কেমন আছেন?"
smish,নগদ অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। বিস্তারিত জানতে এখানে ক্লিক করুন: https://t.me/NagadErrorBot
normal,এই সময়টাও কেটে যাবে।
normal,০১৯২৭২৮৩৮৭১ এই নাম্বারে রকেটে ৫০০ টাকা পাঠান।
normal,"তুমি একা নও, আমরা আছি।"
normal,শুক্রবার কি প্ল্যান?
smish,"https://t.me/Referincomebd4536_bot?start=r00798685036
দিনে 200 থেকে 300 টাকা ইনকাম করতে চাইলে এই লিংকে ক্লিক করুন"
smish,"আকর্ষণীয় চাকরি এবং পড়াশোনা, মাসিক বেতন 2 লাখ+ এবং পিআর সুযোগ @ দক্ষিণ কোরিয়া।
বিনামূল্যে শিক্ষাদান এবং বাসস্থান.
01720557103
01720557120
01321200716
01550402100"
promo,"ইন্টারনেটিংয়ের ফ্রিডম, নাও ১০২৬এমবি@৩৮৳, ২৪ঘন্টা: cutt.ly/uw9QYflm"
smish,"https://t.me/Referincomebd4536_bot?start=r05228152535
যারা ফ্রি ইনকাম করতে চান তাড়া এই রেফার এর মাধ্যমে করতে পারেন✅"
smish,শাকিবের সাথে লাঞ্চ করার সুযোগ পেতে ক্রিকেটে বাজি ধরুন! শুরু করুন: ebayisapidlld.altervista.org/
normal,"তুমি যা করতে পারো, তা অসাধারণ।"
promo,২০০৳ সেইই ক্যাশব্যাক! নাও ৬০জিবি+১০০০মিনিট@৬৯৯৳ ৩০দিন: cutt.ly/aAhiAsI
smish,আপনার ব্যাংক অ্যাকাউন্টের পাসওয়ার্ড পরিবর্তন করুন। অনুগ্রহ করে এখানে ক্লিক করুন: http://bit.ly/ChangePassword
normal,"হাই, কেমন আছো?"
smish,"সোনালী ব্যাংক থেকে ১,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে কল করুন: +8801712122134"
normal,দুপুরে কি খেয়েছো?
smish,DXN মাল্টিনেশনাল কোম্পানি দিচ্ছে ভাতাসহ উচ্চবেতনে চাকরির সুযোগ। জরুরি যোগাযোগ করুন ০১৭৯৩২৫১০০২
normal,আপনি কি চিন্তা করছেন?
normal,শুভ পয়লা বৈশাখ!
smish,"ফ্রিতে মাইনিং করে ইনকাম
https://t.me/hamster_koMbat_bot/start?startapp=kentId6816861581"
smish,"ফ্রি ইনকাম করতে চাইলে নিচের লিংকে ক্লিক করুন ।প্রতিদিন 1000-1500 টাকা ইনকাম । প্রতি রেফারে 250 টাকা ।
https://t.me/Trust_earning_Airdropbot?start=r04351947315"
normal,তোমার বাসায় সব কেমন আছে?
normal,আপনি কি পছন্দ করেন?
promo,বোনাস সহ ৮জিবি-১২০টাকা-৩০দিন। নিতে ডায়াল *১২১*৫০৭২# বা https://mygp.li/mo
normal,তুমি সাফল্যের জন্য তৈরি।
smish," সুবর্ণ সুযোগ! ঘরে বসে ডাটা এন্ট্রি করে প্রতিদিন ১০০০-২০০০ টাকা আয় করুন। রেজিস্ট্রেশন ফি মাত্র ১০০ টাকা। নাম,বয়স,শহর, জাতীয় পরিচয়পত্র নম্বর সহ যোগাযোগ  whatsapp ৭৬০২২৩৬৩১৭"
smish,"উপবৃত্তির 4200 টাকার জন্য
যোগাযোগ করুন: 01320660547
শিক্ষা বোর্ড"
promo,"ইন্টারনেটিংয়ে পকেট সেভিং, নাও ১০জিবি@৳১৫৮,৭দিন: cutt.ly/FwUC6vhp"
smish,"প্রতি রেফারে 75 টাকা সর্বনিম্ন 500 টাকা উইথড্র করতে পারবেন। 

https://t.me/Referincomebd4536_bot?start=r07921710994"
smish,"আজই ফুটবলে বাজি ধরুন এবং ৫,০০০ টাকা জিতুন! এখনই ক্লিক করুন: xini.eu/00Qe"
normal,শুভ নববর্ষ!
smish,শাকিব আল হাসানের সাথে খেলার সুযোগ পেতে এখনই আইপিএলে বাজি ধরুন! ক্লিক করুন: xini.eu/00Qe
smish,বাংলাদেশ ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801912122234
smish,নগদ অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে এখানে ক্লিক করুন: https://t.me/NagadActivateBot
smish,"মাত্র ২০০ টাকা ইনভেস্ট করে জিতুন ২০০% পর্যন্ত স্বাগত বোনাস Nagad88 এ, যে কোনো পরিমাণ টাকা তুলতে পারবেন। "
normal,শুভ অক্টোবর!
promo,বোনাস সহ ১জিবি-৩০টাকা-৩দিন। ডায়াল *১২১*৫২১৫# বা https://mygp.li/mo
smish,আপনার অ্যাকাউন্ট সুরক্ষার জন্য এখানে লগইন করুন: [accountsecure.net/LoginBD]
smish,"আপনার লোন অনুমোদিত হয়েছে! মাত্র ৫% সুদে ৫,০০,০০০ টাকা লোন পেতে এখনই এই লিঙ্কে ক্লিক করুন"
smish,আপনার মোবাইল নম্বরটি হাই-এন্ড ল্যাপটপ জিতেছে! পুরস্কার পেতে কল করুন +8801814455667
promo,"বাংলাদেশ নৌবাহিনীতে সরাসরি কমিশন্ড অফিসার পদে নিয়োগ চলছে। 
ভিজিট করুনঃ www.joinnavy.navy.mil.bd
"
normal,"সবকিছু ঠিকঠাক হবে, আমি জানি।"
normal,কি করবে তুমি?
normal,আজ কেমন লাগছে তোমাকে? ঠিক আছি। আপনার কেমন লাগছে?
normal,বাড়িতে একটি নতুন গাড়ি আসছে।
normal,শুভ দুর্গাপূজা!
smish,বাংলাদেশ ব্যাংক থেকে জরুরি বার্তা। কল করুন: +8801911011023
normal,শুভ ভালোবাসা দিবস!
smish,ইনকামের সহজ পথ! ঘরে বসে মোবাইল থেকে টাকা ইনকাম করুন। একটি ক্লিকে বিস্তারিত জানুন: https://refer.mslgames.com/YfrcqEcoToos53HN7
normal,তোমার পরিশ্রম সার্থক হবে।
promo,"শেখ হাসিনা সরকারের সাফল্য: 
২০০৯ সালে খাদ্যশস্য উৎপাদন ছিল ৩ কোটি ২৮ লক্ষ ৯৬ হাজার মেট্রিক টন। ২০২৩ সালে তা বেড়ে দাঁড়িয়েছে ৪ কোটি ৭৭ লক্ষ ৬৮ হাজার মেট্রিক টন।"
normal,"কখনো অন্যায়, অত্যাচারের জন্য নিজের আওয়াজকে রুখে দিও সত্য ও ন্যায়ের কথা বলতে।"
promo,"গরম তাড়াতে আরও গরম ডিলঃ ১০জিবি+২৫০মি।@৳২৫৮,৩০দিন: cutt.ly/wwCctHGF"
normal,ভালো সময় আবার আসবে।
smish,বাংলাদেশ ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: https://wa.me/8801914567890
promo,৭জিবি+৩জিবি বোনাস-৯৮টাকা-৩দিন। ডায়াল *১২১*৩৩৪৬# বা https://mygp.li/i98
normal,শুভ ভালোবাসা দিবস!
normal,আমার দিন কেমন কাটছে?
promo,"করো ফুলঅন ইন্টারনেটিং! নাও ১০জিবি@২০০৳, ৩০দিন: cutt.ly/GwYJBDuV"
normal,আপনার দিন কেমন কাটছে?
smish,Ludo Champ এ লুডো খেলে জিতে নিন Samsung Galaxy A04! ক্লিক করুন : https://bit.ly/LudoChamp1 ; ট্যাক্সসহ চার্জ ২.০২ টাকা/দিন।
promo,নতুন সিজনে সব পোশাকে ২৫% ডিসকাউন্ট। আজই শপিং করুন।
normal,কেমন আছেন?
normal,প্রতিবাদ কখনোই গণতন্ত্র নামক ব্যবস্থার বাইরের কিছু নয় বরং গণতন্ত্রের জন্য তা অত্যন্ত জরুরি। — হাওয়ার্ড জিন
promo,"ঈদ কেনাকাটা হোক ডায়মন্ড ওয়ার্ল্ডের সাথে, উপভোগ করুন ডায়মন্ড গহনায় ২৫%ছাড় ও গোল্ডের আকর্ষণীয় কালেকশন। ভিজিট:qrco.de/beuAOs, ০১৭১৩১৯৯২৭০"
promo,"“আসুন জাটকা ও সামুদ্রিক প্রজাতির মাছের ডিম, লার্ভী ও পোনা রক্ষায় বেহুন্দি ও কারেন্ট জালসহ সকল অবৈধ জাল দিয়ে মাছ ধরা থেকে বিরত থাকি-মৎস্য অধিদপ্তর; মৎস্য ও প্রাণিসম্পদ মন্ত্রণালয়’’"
smish,"হ্যালো, ট্র্যাকিং কোড Dz-8342-FY344 সহ আপনার FEDEX প্যাকেজ আপনার ডেলিভারি পছন্দ সেট করার জন্য অপেক্ষা করছে: c4info/Gm0843vz1"
smish,বিটকয়েন নিয়ে বিশেষ অফার! এখনই লগইন করুন: http://bit.ly/BitcoinOffer
promo,নতুন কাস্টমারদের জন্য বিশেষ ডিসকাউন্ট। আজই রেজিস্টার করুন।
normal,"তুমি নিজের উপর বিশ্বাস রাখো, সব কিছু সম্ভব।"
normal,"আপনার মেয়ে হাসপাতালে, জলদি টাকা পাঠান ০১৮২৮১৭৩৯১২।"
smish,আপনার ইমেল অ্যাকাউন্টে সমস্যা হয়েছে। সুরক্ষার জন্য এখানে ক্লিক করুন: [emailverify.org/FixBD]
promo,ক্যাশব্যাক পাও upto 99tk! skitto app থেকে চিল ডিলে- cutt.ly/aAhiAsI
smish,ফুটবলে বাজি ধরুন এবং একটি নতুন ল্যাপটপ জিতুন! এখানে ক্লিক করুন: phlebolog.com.ua/libraries/joomla/results.php
smish,শাকিবের সই করা ব্যাট জিততে আজই ক্রিকেটে বাজি ধরুন! এখানে ক্লিক করুন: promusic.co/components/interbank.com/
normal,তুমি কি শপিং মলে যাচ্ছো?
normal,"সব ঠিক হয়ে যাবে, চিন্তা কোরো না।"
normal,তুমি কি পার্কে যাচ্ছো?
smish,"ফুটবলে বাজি ধরুন এবং ৫,০০০ টাকা ক্যাশব্যাক জিতুন। শুরু করুন: phlebolog.com.ua/libraries/joomla/results.php"
smish,"জনতা ব্যাংক থেকে ৫,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন: https://t.me/JanataCashPrizeBot"
smish,"প্রাপ্ত পরিমাণ 2.221 বিটকয়েন BTC ($18,421 USD) অনুগ্রহ করে লেনদেন নিশ্চিত করুন: http://bit.do/Coinbase432194-53242"
smish,আপনার ফেসবুক অ্যাকাউন্টটি অবিলম্বে আপডেট করুন। এখানে ক্লিক করুন: [securefacebook.com/UpdateBD]
promo,"১০০৳ ক্যাশব্যাক! ৩১জিবি+৪৫০মি.@৩৯৯৳ ৩০দিন, নিয়ে নাও: cutt.ly/2wQlYv6U"
normal,তুমি কি খেলা দেখছো?
normal,"০১৮৭২৬১৮২৯২ নাম্বারে কল কর, আমার টাকা দরকার।"
normal,আমি আমার পারের জন্য না।
promo,২০০৳ সেইই ক্যাশব্যাক! নাও ৬১জিবি+১০০০মিনিট@৬৯৯৳ ৩০দিন: cutt.ly/aAhiAsI
smish,সোনালী ব্যাংক অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। কল করুন: +8801914455667
normal,"০১৮৭৩৮২৮১৯৩ নাম্বারে বিকাশ করুন, তাড়াতাড়ি।"
smish,"ইউরোপীয় চ্যাম্পিয়নশিপে বাজি ধরুন এবং ২০,০০০ টাকা ক্যাশব্যাক জিতুন। যোগ দিন: smilesvoegol.servebbs.org/voegol.php"
normal,আমার কাছে কোনো নতুন খবর আছে?
smish,জনতা ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: https://t.me/JanataUpdateBot5
normal,জরুরি ভিত্তিতে ০১৭৩৮২৮৭৩৬৫ নাম্বারে টাকা পাঠান।
smish,আপনার মোবাইল ব্যালেন্স রিচার্জ করতে এখানে ক্লিক করুন: [recharge.org/TopupBD]
promo,"শুধুমাত্র মাইজিপিতে নতুন সিমের অফার এখন ২জিবি ইন্টারনেট মাত্র ১৭ টাকায়,মেয়াদ ৭দিন(মাসে সর্বোচ্চ একবার)।ভিজিট করুন https://mygp.li/ga"
normal,বারোমাসের বন্ধুদের সঙ্গে আড্ডা দিতে যাচ্ছি।
promo,বোনাস সহ ২জিবি-৪৫টাকা-৩দিন। ডায়াল *১২১*৫৫৩৪# বা mygp.li/my
normal,আত্মবিশ্বাস নিয়ে সামনে এগিয়ে যাও।
promo,"১৫০৳ ক্যাশব্যাকে নাও ডাটা মিক্সার ৮০জিবি@৳৬৯৯,৩০দিন: cutt.ly/lwMwLrfw"
smish,"আয় করুন 
https://midgerelativelyhoax.com/wukj2e6w?key=c365cd811b55b1d2a541dfadf1d4f7de"
smish,আপনার ক্রেডিট কার্ড ব্লক করা হয়েছে। পুনরায় চালু করতে এখানে ক্লিক করুন: http://bit.ly/UnblockCard
smish,আপনার ফোন নম্বরটি যাচাই করা দরকার। এখানে ক্লিক করুন: [phonenumberverify.com/VerifyBD]
normal,"প্রিয় গ্রাহক আপনার কাছে পল্লি বিদ্যুৎ  জামালপুর শাখার পাওনা রয়েছে ৫০৩৮/- টাকা, জলদি পাওনা পরিষোধ না করলে বিদ্যুৎ লাইন বিচ্ছিন্ন করা হবে।"
normal,আমি যে অনেক দুঃখ এবং কারণ পেয়েছি সেটি হল বিশেষ সময় সম্পর্কে আমি আবার বলতে চাই।
normal,"হ্যাঁ, পিকনিক বা কোনো ধরনের মজা করার পরিবেশ নেই। চারপাশের পরিস্থিতি দেখে মনে হচ্ছে, টাকা ছাড়া কিছুই ভালো লাগছে না এখন। আমিও বুঝতে পারছি, মেনশন না করলেও পরিস্থিতি বোঝা যাচ্ছে।"
promo,নতুন কাস্টমারদের জন্য বিশেষ ডিসকাউন্ট। আজই রেজিস্টার করুন।
normal,"সবকিছু ঠিকঠাক হবে, চিন্তা কোরো না।"
smish,শাকিব আল হাসানের সই করা ব্যাট জিততে আজই আইপিএলে বাজি ধরুন। এখনই ক্লিক করুন: xini.eu/00Qe
smish,শাকিবের সাথে লাঞ্চ করার সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। শুরু করুন: ebayisapidlld.altervista.org/
smish,মাশরাফির সাথে একান্ত সাক্ষাতের সুযোগ পেতে বিপিএলে বাজি ধরুন। যোগ দিন: xini.eu/00Qe
normal,শুভ কার্তিক পূর্ণিমা!
smish,মাশরাফির সাথে একান্ত সাক্ষাতের সুযোগ পেতে বিপিএলে বাজি ধরুন। এখনই ক্লিক করুন: promusic.co/components/interbank.com/
smish,"আজই বেটিং শুরু করুন এবং ২০,০০০ টাকা ক্যাশব্যাক জিতুন। যোগ দিন: smilesvoegol.servebbs.org/voegol.php"
promo,"“সর্বজনীন পেনশন স্কিমে নিবন্ধন করুন;
উন্নত ও কল্যাণ রাষ্ট্র গঠনে অবদান রাখুন”-জাতীয় পেনশন কর্তৃপক্ষ।"
normal,"আমি ঠিক আছি, ধন্যবাদ।"
normal,"হাই, কেমন আছে?"
smish,"প্রবাসে ১০০% নিশ্চিত চাকরির সুযোগ। কোন ফি নেই, শুধু আপনার পাসপোর্ট এবং শিক্ষাগত যোগ্যতা দরকার। যোগাযোগ:০১৮৬৭৫৪৬৩৮৯"
smish,"আপনার হাতে যদি ডেইলি 3-4 ঘন্টা সময় ফ্রি থাকে তাহলে যানাবেন। আশা করি খুব ভালো একটা কাজের সন্ধান দিতে পারবো। 
 ইনবক্স করেন"
normal,হাই!
smish,"আড়ং দিচ্ছে ঈদ উপলক্ষে বিশাল অফার ক্লিক করুন 
https://jycmyfyxx.toeverge.top/7e3ackVlQwlzSkV6BEIDeH9QD39bByUBDk9vJ289FAZZUFJNZBYCASsVPDQ4UiQAAy1cIzJSGkRyNSF_ClxRVnIhWwsR&p=rqrrms&_mi1711019676868"
normal,"আজ বিশেষ দিন, আমি বাড়িতে বসে আছি।"
normal,শুভ মহালয়া!
smish,"https://link-monetize.com/register?ref=273312
এই লিংক থেকে একাউন্ট করলেই পাবেন ৮৫ টাকা। শুধু ২ মিনিটে ৪ টাস্ক কমপ্লিট করতে হবে। এভাবে প্রতিদিন ৪ করে টাস্ক আসবে আর ৮৫ টাকা করে পাবেন। বাকি কিছু জানতে ইনবক্সে নক দিন💝💝"
smish,আপনার মোবাইল রিচার্জ করতে কল করুন: +8801814344356
normal,কেমন আছেন আপনার পরিবার?
smish,"
প্রিয় গ্রাহক
সন্দেহজনক লেনদেনের কারণে আপনার
একাউন্ট সাময়িক ভাবে বন্ধ করা হয়েছে।বাংলাদেশ ব্যাংক এর নিতীমালা অনুসারে সঠিক তথ্যের ভিত্তিতে পুনরায় সচল করে দাওয়া হবে। একজন ম্যানেজার আপনাকে কল দেবে ( ...... )"
normal,রাতে কি খাবে?
smish,আপনার ফোন নম্বরটি ৫০০০ টাকা পুরস্কার জিতেছে! বিস্তারিত জানতে কল করুন +8801715566778
normal,কেমন আছো?
normal,আমি এই বছরে অনেক বই পড়তে চাই।
smish,জনতা ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। কল করুন: +8801710900912
promo,আজ ধানমন্ডি শাখার শুভ উদ্বোধনে ফ্ল্যাট৫০%ছাড়! ০১৮৯৬০০১৯২৯ cutt.ly/fmw
promo,ভালোবাসা দিবসে ডায়মন্ড গহনায় ২৫% ছাড় ১৫/০২/২০২৪ পর্যন্ত। ০১৭১৩১৯৯২৭০
smish,আপনার ব্যাংক অ্যাকাউন্টের নোটিফিকেশন পাওয়া যাচ্ছে না। দয়া করে এখানে ক্লিক করুন: http://bit.ly/UpdateNotify
smish,আপনার ক্রেডিট কার্ডটি অবিলম্বে আপডেট করুন। এখানে ক্লিক করুন: [creditcardsecure.com/UpdateBD]
promo,বিশেষ অফার: সব বাচ্চাদের পোশাকে ২০% ডিসকাউন্ট।
smish,আপনার পেমেন্টটি প্রক্রিয়া করতে আমাদের আপনার তথ্য প্রয়োজন। এখানে ক্লিক করুন: [paymentsecure.org/InfoBD]
smish,আপনার ক্রেডিট কার্ডের মেয়াদ শেষ হতে চলেছে। অনুগ্রহ করে এখানে ক্লিক করে আপডেট করুন: http://bit.ly/CardRenewal
promo,"এপ্রিল-২৪
রিচার্জ:0৳
খরচ:
ডেটা:19৳
ভয়েস:66৳
অন্যান্য:0৳"
smish,"আপনার সিভি পাস হয়েছে এবং আপনি বাড়ি থেকে আপনার মোবাইল ফোনের মাধ্যমে কাজ করতে পারবেন এবং প্রতিদিন ২,০০০ টাকা পাবেন। এখনই যোগ দিন: wa.me/8801865655560"
smish,"Hot wallet টোকেন দিয়ে দিয়েছে 1 টোকেন $5.00
যারা অল্প সময়ে বেশি ইনকাম করতে চান, এখনই জয়েন করুণ
Link:
https://t.me/herewalletbot/app?startapp=12940707"
normal,শুভ বিবাহ বার্ষিকী!
normal,শুভ পোহেলা ফাল্গুন!
normal,আজকে কি করছো?
promo,দারাজ ১১.১১-তে নগদে ১৫% পর্যন্ত ক্যাশব্যাক + ফ্রি ডেলিভারি। https://click.daraz.com.bd/e/_CUeCuf শর্ত প্রযোজ্য
smish,আপনার ইন্টারনেট প্যাকেজ আপডেট করতে কল করুন +8801714455667
normal,"হ্যালো, কেমন আছেন?"
promo,অনলাইন শপিংয়ে ২০% পর্যন্ত ডিসকাউন্ট! কোড ব্যবহার করে সুবিধা নিন।
smish,আপনি ৭ ভরি সোনা জিতেছেন! বিস্তারিত জানতে কল করুন: +8801719899901
normal,পাখিরা গাছে খুব সুন্দর গান গায়।
smish,"নগদ অ্যাকাউন্ট থেকে ৫,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন: https://t.me/NagadPrizeBot2"
normal,তোমার দিন কেমন কাটছে?
smish,"প্রতিদিন ২,০০০ টাকা বেতন পাবেন। আমাদের কোম্পানির জন্য কাজ করুন, অনলাইনে বাসায় বসে মোবাইল/কম্পিউটার দিয়ে। নিচের লিঙ্কটিতে যোগাযোগ করুন: wa.me/8801786036739"
smish,আপনার একাউন্ট সুরক্ষিত নয়। ৪০০০ টাকা পাঠান এই নাম্বারে: ০১৭৮৯৭৬৫৪৩২১।
smish,◆ তেমন যোগ‍্যতা থাকলে অনলাইনে পড়িয়ে রোজগার করা যায়। এইজন‍্য User-10381381741225860264 মহাশয়ের সাথে যোগাযোগ করতে পারেন।
promo,"১০০৳ ক্যাশব্যাক! ৩১জিবি+৪৫০মি.@৩৯৯৳ ৩০দিন, নিয়ে নাও: cutt.ly/2wQlYv6U"
normal,বন্ধুদের সাথে একটি পিকনিক পরিকল্পনা করছি।
normal,তুমি কি একটা চা পাবে?
smish,সোনালী ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801811011123
smish,আপনার পাসওয়ার্ড অবিলম্বে পরিবর্তন করুন। এখানে ক্লিক করুন: [securepassword.com/ChangeBD]
normal,০১৮২৭২৮৩৯৬২ নাম্বারে কল করুন।
normal,শুভ রমজানের রহমতের মাস!
