keyword,avg_monthly_searches,competition,competition_index,low_top_of_page_bid_micros,high_top_of_page_bid_micros,classification,source_file
txtdrop,70,LOW,24,6125589,33626453,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
send 1000 text messages at once app,70,LOW,25,8931326,23878262,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
scammed on telegram,50,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
sms phishing attack,50,LOW,1,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
phishing alerts,50,LOW,2,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
send fake sms from any number,50,LOW,4,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
group text app,50,LOW,6,7412861,60417599,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
group messaging apps,50,LOW,6,7412861,60417599,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
imessage for business,50,LOW,6,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
sms organizer app,50,LOW,7,724444,4287572,high_intent_or_utility,keyword_ideas.json
free text app for android,50,LOW,13,2085540,20838030,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
google chat app iphone,40,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
random text messages from unknown numbers,40,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
sms organiser,40,LOW,1,0,0,high_intent_or_utility,keyword_ideas_broad_volume_a_2026-06-27.json
free text and call online,40,LOW,1,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
send spam text messages,40,LOW,1,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
send spam texts,40,LOW,1,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
spam gmail,40,LOW,2,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
stop spam messages,40,LOW,4,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
sms app android,40,LOW,22,3087716,15679688,scale_candidate_category,keyword_ideas_broad_volume_a_2026-06-27.json
best text messaging service for business,40,LOW,27,21926113,123542946,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
best business texting services,40,LOW,27,21926113,123542946,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
texting app for computer,30,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
com samsung android messaging,30,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
text app for pc,30,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
fake phone number text,30,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
send fake text messages from different number,30,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
spam someone with texts,30,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
sms phishing example,30,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
sms organizer apk,30,LOW,0,0,0,block_or_negative,keyword_ideas.json
apple messages for business,30,LOW,2,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
best sms organizer app for android,30,LOW,2,0,0,high_intent_or_utility,keyword_ideas_play_url_volume_2026-06-27.json
phone number verification app,30,LOW,3,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
google text app,30,LOW,4,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
send a fake text,30,LOW,6,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
texting platform,30,LOW,16,37317874,243448376,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
text messaging service for business,30,LOW,17,22464396,157293256,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
best group chat app,30,LOW,21,13216349,66576796,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
best sms api,30,MEDIUM,38,28125525,116354857,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
ayoba app,20,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
texting apps for iphone,20,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
receiving text messages from random numbers,20,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
telegram app scams,20,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
657 area code text message,20,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
smishing text messages,20,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
phishing messages examples,20,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
online fake phone number,20,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
prevent spam,20,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
telegram investment scams,20,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
automated text service,20,LOW,7,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
automated text message free,20,LOW,7,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
best sms organizer app,20,LOW,8,0,0,high_intent_or_utility,keyword_ideas_play_url_volume_2026-06-27.json
sms organiser app,20,LOW,8,1262822,4869564,high_intent_or_utility,keyword_ideas_play_url_volume_2026-06-27.json
sms verification app,20,LOW,10,6770075,24823609,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
block spam mail,20,LOW,14,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
stop spam mails,20,LOW,14,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
free call and sms tracker online,20,LOW,19,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
text message service,20,LOW,29,13995265,43717703,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
spam text blocker,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_a_2026-06-27.json
google chat app free download,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
mass texting service for business,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
best mass texting service,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
business texting app,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
free mass texting app,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
twilio texting app,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
best hipaa compliant text messaging app,10,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
group texting app for business,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
best texting app for business,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
text app number,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
best automated text message service,10,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
mass texting app for business,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
text marketing app,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
free phone number for verification app,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
phone number for verification app,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
text message app for business,10,LOW,0,0,0,scale_candidate_category,keyword_ideas_broad_volume_a_2026-06-27.json
best sms marketing app for shopify,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
free text marketing app,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
free text blast service,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
free mass text messaging app,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
wifi texting app,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
free texting app for pc,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
texting app for computer free,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
mass text messaging app for business,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
best texting platform for business,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
best text blast app,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
send text from fake number,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
sms sender for spamming,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
text someone from a fake number,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
shared sms inbox,10,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
best sms sender for spamming,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
best sms gateway for spamming,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
bulk sms sender for spamming,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
sms gateway for spamming,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
spam filter android,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
send annoying texts,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
block spam texts android,10,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
block spam texts iphone,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
use a fake number to text,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
stop spam texts iphone,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
app to block spam texts,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
stop unwanted texts,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
786 area code text message,10,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
block unwanted texts,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
local hookup facebook messages spam,10,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
fake number to receive texts,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
347 area code text message,10,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
best spam text blocker,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
stop spam texts android,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
free spam text blocker,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
keep getting spam texts,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
sms toll fraud,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
virtual sms inbox,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
got scammed on telegram,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
fake number to text someone,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
mustache anonymous texting,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
text using fake number,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
fake phone number to receive texts,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
spam text blocker iphone,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
spoof text free send and receive,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
hi mum scam,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
text off a fake number,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
get rid of spam texts,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
dummy phone number to receive text,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
phone sms inbox,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
best text spam blocker,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
block phishing texts,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
twilio sms inbox,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
twilio sms unsubscribe,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
get rid of spam messages,10,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
sms confirmation message,10,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
stop phishing texts,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
send fake text to yourself,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
fraud detection message center,10,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
app to stop spam texts,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
stop spam calls and texts,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
send whatsapp message from fake number online,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
stop getting spam texts,10,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
free anti spam,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
block unknown texts iphone,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
otp phishing,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
remove junk email,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
block unwanted text messages,10,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
sms phishing protection,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
block all spam messages,10,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
textkiller spam text blocker,10,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
best spam text blocker for iphone,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
whatsapp spammer online,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
unsolicited email messages,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
apps that block spam texts,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
fake number for verification text,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
send annoying texts free,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
scammers texting me,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
threatening text messages asking for money,10,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
free text spam blocker,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
fake automated text message,10,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
removing email from spam lists,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
text message spam blocker,10,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
845 area code text message,10,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
text yourself from fake number,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
spam messages on android,10,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
mass spam text messages,10,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
getting spam texts,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
social security text message,10,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
unsubscribe from unwanted emails,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
free spam texts,10,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
block spam messages iphone,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
block texts from unknown numbers,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
text off fake number,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
fake number for text verification,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
fake spectrum text message,10,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
telegram dating scams,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
stop unwanted text messages,10,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
stop spam messages on iphone,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
app for blocking spam texts,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
block spam texts android free,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
spam detected message,10,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
block spam messages android,10,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
blocking mass text messages,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
best app to stop spam texts,10,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
send yourself a text message online,10,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
icloud scams email,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
fake text message online,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
spoof phone number text,10,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
report fraudulent text messages,10,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
report phishing text message,10,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
email spam message,10,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
fraud center alert text message,10,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
send yourself a fake text,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
block spam calls and texts,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
stop unwanted texts iphone,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
sms classifier,10,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_play_url_volume_2026-06-27.json
sms organizer review,10,UNSPECIFIED,0,0,0,high_intent_or_utility,keyword_ideas_play_url_volume_2026-06-27.json
text message organizer,10,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_play_url_volume_2026-06-27.json
text message organizer app,10,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_play_url_volume_2026-06-27.json
delivery otp scam,10,LOW,0,0,0,high_intent_or_utility,keyword_ideas.json
microsoft sms organizer apk,10,LOW,0,0,0,block_or_negative,keyword_ideas.json
microsoft sms organizer for pc,10,LOW,0,0,0,block_or_negative,keyword_ideas.json
microsoft sms organizer web,10,LOW,0,0,0,block_or_negative,keyword_ideas.json
sms organizer app download,10,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas.json
sms organizer download,10,LOW,0,0,0,block_or_negative,keyword_ideas.json
sms organizer for pc,10,LOW,0,0,0,block_or_negative,keyword_ideas.json
sms organizer for windows 10,10,LOW,0,0,0,block_or_negative,keyword_ideas.json
sms organizer microsoft apk,10,LOW,0,0,0,block_or_negative,keyword_ideas.json
sms organizer mod apk,10,LOW,0,0,0,block_or_negative,keyword_ideas.json
sms organizer not receiving otp,10,UNSPECIFIED,0,0,0,high_intent_or_utility,keyword_ideas.json
sms organizer web,10,LOW,0,0,0,block_or_negative,keyword_ideas.json
twilio sms app,10,LOW,1,0,0,scale_candidate_category,keyword_ideas_broad_volume_a_2026-06-27.json
message organizer,10,LOW,1,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
block spam texts,10,LOW,1,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
microsoft sms organizer app,10,LOW,1,0,0,competitor/default-tool; conquest only if approved,keyword_ideas.json
free texting app for iphone,10,LOW,2,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
junk email filter,10,LOW,2,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
report scam messages,10,LOW,2,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
sms organizer android,10,LOW,3,0,0,high_intent_or_utility,keyword_ideas.json
send group text,10,LOW,4,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
hipaa compliant messaging app,10,LOW,5,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
best free texting app,10,LOW,6,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
443 area code text message,10,LOW,7,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
message from fake number,10,LOW,7,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
report scam text message,10,LOW,8,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
report text scam,10,LOW,8,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
bulk sms spam,10,LOW,8,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
report a text scam,10,LOW,8,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
otp fraud prevention,10,LOW,10,0,0,high_intent_or_utility,keyword_ideas_broad_volume_b_2026-06-27.json
simple texting app,10,LOW,11,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
text reminder app,10,LOW,12,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
otp bank online,10,LOW,12,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
best mass text app,10,LOW,14,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
sms inbox online,10,LOW,14,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
get rid of spam mail,10,LOW,14,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
message organizer app,10,LOW,17,0,0,broad_discovery_needs_negatives,keyword_ideas_play_url_volume_2026-06-27.json
text monitoring app,10,LOW,18,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
best group messaging app,10,LOW,19,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
hipaa compliant text messaging apps,10,LOW,21,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
hipaa compliant texting app,10,LOW,21,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
junk email blocker,10,LOW,21,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
spam junk email,10,LOW,21,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
junk email in your inbox,10,LOW,23,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
group text messaging service,10,LOW,24,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
sms marketing app,10,LOW,27,6524345,41980602,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
sms by zapier,10,LOW,29,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
free text messaging service for business,10,LOW,29,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
otp credit,10,LOW,29,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
free second phone number for texting,10,MEDIUM,36,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
bulk text message app,10,MEDIUM,39,14929000,25084349,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
bulk texting app,10,MEDIUM,43,56475540,120901753,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
best text messaging service for small business,10,MEDIUM,43,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
whatsapp api send message to number,10,MEDIUM,48,18366289,81940614,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
mass messaging app,10,MEDIUM,57,26776419,67526391,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
textedly app,10,MEDIUM,64,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
best mass texting app for small business,0,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
